Submission_id,Participant_id,Status,Custom study tncs accepted at,Started_time,Completed_time,Reviewed_time,Archieve_time,Time_taken,Custom_id_prolific,Total_Prolific_approvals,Age,Sex,Ethnicity ,Birth_country,Residency_country,Nationality,Language,Student_status,Employment_status 
6627d5291046a8ea6c35cf59,5eba829dede045022d3b4fa1,APPROVED,Not Applicable,2024-04-23T15:35:12.132000Z,2024-04-23T15:36:02.148000Z,2024-04-23T16:11:28.952000Z,2024-04-23T15:36:02.525572Z,51,1,204,27,Male,White,Spain,Spain,Spain,Spanish,DATA_EXPIRED,DATA_EXPIRED
6627d534e10a99b723e7bac6,60784313b07c7303c87b1a22,APPROVED,Not Applicable,2024-04-23T15:35:16.013000Z,2024-04-23T15:36:23.114000Z,2024-04-23T16:11:32.697000Z,2024-04-23T15:36:23.640226Z,68,2,373,32,Male,White,Greece,Greece,Greece,Greek,DATA_EXPIRED,DATA_EXPIRED
6627d530da2eda7eb1adc44e,5e55be4de8fabb5c5550d54f,APPROVED,Not Applicable,2024-04-23T15:35:16.895000Z,2024-04-23T15:36:44.115000Z,2024-04-23T16:12:57.762000Z,2024-04-23T15:36:44.594485Z,88,3,479,27,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,Poland,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED
6627d53482fffcf9150181de,5e82537a0bf5f30abb81528a,APPROVED,Not Applicable,2024-04-23T15:35:22.230000Z,2024-04-23T15:36:32.418000Z,2024-04-23T16:13:00.044000Z,2024-04-23T15:36:32.927338Z,71,4,283,24,Female,White,Italy,Italy,Italy,Italian,Yes,Part-Time
6627d53e3b38f4685e85da9c,5f2a6a7726309f26ba44e7a2,APPROVED,Not Applicable,2024-04-23T15:35:30.694000Z,2024-04-23T15:37:13.532000Z,2024-04-23T16:13:00.752000Z,2024-04-23T15:37:14.203759Z,103,5,39,29,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,Poland,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED
6627d53f0fdec0d5c75002e8,610306546b1956445387be5f,APPROVED,Not Applicable,2024-04-23T15:35:31.474000Z,2024-04-23T15:36:37.869000Z,2024-04-23T16:13:01.767000Z,2024-04-23T15:36:38.679657Z,67,6,766,22,Female,White,Canada,Canada,Canada,English,Yes,Full-Time
6627d545066055f2ca5282e0,60b60515dc81e3c6a1155c6e,APPROVED,Not Applicable,2024-04-23T15:35:37.173000Z,2024-04-23T15:36:49.557000Z,2024-04-23T16:13:02.856000Z,2024-04-23T15:36:50.363094Z,73,7,439,22,Female,White,Poland,Poland,Poland,Polish,Yes,Part-Time
6627d542b2097dbcd82e7fa7,61524bbc25d763f05d100f98,APPROVED,Not Applicable,2024-04-23T15:35:37.399000Z,2024-04-23T15:37:14.124000Z,2024-04-23T16:13:03.624000Z,2024-04-23T15:37:14.925578Z,97,101,251,28,Male,White,Italy,Italy,Italy,Italian,DATA_EXPIRED,DATA_EXPIRED
6627d546678e05f825126a89,5bfecff80ef0390001387cc2,APPROVED,Not Applicable,2024-04-23T15:35:37.582000Z,2024-04-23T15:36:53.720000Z,2024-04-23T16:13:04.714000Z,2024-04-23T15:36:54.469160Z,77,8,585,37,Female,Mixed,Mexico,Mexico,Mexico,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED
6627d548c24be447de645ab8,6048b828c0988bd2dc72944a,APPROVED,Not Applicable,2024-04-23T15:35:50.268000Z,2024-04-23T15:37:16.661000Z,2024-04-23T16:13:05.434000Z,2024-04-23T15:37:17.131953Z,87,9,217,21,Male,White,Poland,Poland,Poland,Polish,DATA_EXPIRED,Unemployed (and job seeking)
