Custom_id_prolific,StartDate,EndDate,Q2,IPAddress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,,Q3,Q3_5_TEXT,Q4,Q4
1,4/23/24 9:35:14.000,4/23/24 9:35:43.000,25-29,88.17.108.152,29,True,4/23/24 9:35,R_5qo4tc0adMmoQo1,,,,,39.4923,-0.4046,anonymous,EN,,White,,,90
2,4/23/24 9:35:18.000,4/23/24 9:36:01.000,30-34,77.49.58.232,43,True,4/23/24 9:36,R_7Hh8Ny7LOLwcDIq,,,,,37.9842,23.7353,anonymous,EN,,White,,120,
3,4/23/24 9:35:18.000,4/23/24 9:36:18.000,25-29,195.117.148.5,59,True,4/23/24 9:36,R_7sdGtEMij5bSmIE,,,,,51.5926,18.7353,anonymous,EN,,White,,,130
4,4/23/24 9:35:23.000,4/23/24 9:36:23.000,18-24,217.201.157.186,59,True,4/23/24 9:36,R_3LtcBQRGF14UBT4,,,,,45.0914,7.6639,anonymous,EN,,White,,,100
6,4/23/24 9:35:33.000,4/23/24 9:36:26.000,18-24,99.251.73.80,52,True,4/23/24 9:36,R_3rdbBb5qVJ1WuIu,,,,,43.4325,-80.4995,anonymous,EN,,White,,132,
5,4/23/24 9:35:35.000,4/23/24 9:36:25.000,25-29,89.64.8.159,49,True,4/23/24 9:36,R_5iqeAm4TDlWCwlC,,,,,53.1215,18.0131,anonymous,EN,,White,,142,
7,4/23/24 9:35:38.000,4/23/24 9:36:38.000,18-24,78.30.64.53,59,True,4/23/24 9:36,R_5g4YvAXMhh8RBAZ,,,,,52.2296,21.0067,anonymous,EN,,White,,50,
8,4/23/24 9:35:40.000,4/23/24 9:36:38.000,35-39,177.228.45.240,57,True,4/23/24 9:36,R_2vdkxoYg6n5qW1X,,,,,21.1071,-101.6319,anonymous,EN,,Other,Latin,140,
9,4/23/24 9:35:51.000,4/23/24 9:37:08.000,18-24,83.7.216.200,77,True,4/23/24 9:37,R_8RrjA03c1dxvXMZ,,,,,50.2527,19.0284,anonymous,EN,,White,,79,
10,4/23/24 9:35:54.000,4/23/24 9:37:09.000,25-29,186.96.19.149,74,True,4/23/24 9:37,R_2rYRfTjTHaBMEip,,,,,20.7015,-105.2952,anonymous,EN,,Other,Latino,133,
11,4/23/24 9:35:55.000,4/23/24 9:36:25.000,25-29,188.26.220.44,29,True,4/23/24 9:36,R_8BW1EkFAhi0cJhN,,,,,40.4172,-3.684,anonymous,EN,,White,,,100
12,4/23/24 9:36:06.000,4/23/24 9:36:55.000,25-29,87.121.37.249,49,True,4/23/24 9:36,R_3dagsQRevjIvdHm,,,,,43.7089,10.4087,anonymous,EN,,White,,120,
16,4/23/24 9:36:09.000,4/23/24 9:36:22.000,18-24,5.172.234.184,13,True,4/23/24 9:36,R_35X6tC28saGyYN0,,,,,50.263,19.0245,anonymous,EN,,White,,,64
101,4/23/24 9:36:09.000,4/23/24 9:36:54.000,25-29,155.185.74.209,45,True,4/23/24 9:36,R_7dHcCrstrEr1p0t,,,,,44.6534,10.9231,anonymous,EN,,White,,126,
17,4/23/24 9:36:13.000,4/23/24 9:36:33.000,18-24,62.21.34.182,20,True,4/23/24 9:36,R_5uxML7ejrfuuQR7,,,,,52.3675,16.8169,anonymous,EN,,White,,,250
18,4/23/24 9:36:14.000,4/23/24 9:40:51.000,18-24,88.156.208.175,277,True,4/23/24 9:40,R_3PAb3iyjIL3E7CS,,,,,50.2683,19.015,anonymous,EN,,White,,175,
15,4/23/24 9:36:20.000,4/23/24 9:37:10.000,35-39,187.189.127.122,49,True,4/23/24 9:37,R_3QYNDp1FCfQEAs9,,,,,19.4155,-99.0465,anonymous,EN,,Other,Latin,,108
19,4/23/24 9:36:20.000,4/23/24 9:37:33.000,35-39,46.103.209.198,73,True,4/23/24 9:37,R_7gwqoqqkk7D96Fr,,,,,37.9842,23.7353,anonymous,EN,,White,,,98
20,4/23/24 9:36:25.000,4/23/24 9:36:54.000,30-34,46.198.236.128,29,True,4/23/24 9:36,R_5OYKz0yajAcUC9x,,,,,38.2475,21.7311,anonymous,EN,,White,,100,
21,4/23/24 9:36:28.000,4/23/24 9:37:48.000,40-44,62.74.27.42,80,True,4/23/24 9:37,R_8PFXchryCgIwEC2,,,,,40.6439,22.9358,anonymous,EN,,White,,119,
22,4/23/24 9:36:29.000,4/23/24 9:36:52.000,30-34,37.228.236.213,23,True,4/23/24 9:36,R_52E6K71ranc8cuj,,,,,53.3297,-6.2708,anonymous,EN,,White,,,110
23,4/23/24 9:36:30.000,4/23/24 9:38:01.000,25-29,189.203.252.100,91,True,4/23/24 9:38,R_7zFJUGpeohv4JVT,,,,,19.536,-99.1441,anonymous,EN,,Other,Hispanic and Latinx,,121
24,4/23/24 9:36:31.000,4/23/24 9:37:49.000,18-24,193.137.92.90,77,True,4/23/24 9:37,R_2Hho4TEHDObVsLi,,,,,41.5515,-8.4204,anonymous,EN,,White,,132,
27,4/23/24 9:36:39.000,4/23/24 9:37:10.000,35-39,176.190.37.249,31,True,4/23/24 9:37,R_2qsVcaqEEbPMfVv,,,,,45.4346,4.3958,anonymous,EN,,White,,111,
25,4/23/24 9:36:46.000,4/23/24 9:37:16.000,25-29,200.14.18.145,29,True,4/23/24 9:37,R_3Igt0dZjoWbV4wT,,,,,25.6759,-100.3208,anonymous,EN,,Other,,135,
13,4/23/24 9:36:55.000,4/23/24 9:37:20.000,30-34,83.150.18.204,24,True,4/23/24 9:37,R_3LN0SfWSxA7Ib4X,,,,,47.3838,8.1787,anonymous,EN,,Asian,,,100
26,4/23/24 9:37:03.000,4/23/24 9:37:43.000,25-29,86.49.235.178,39,True,4/23/24 9:37,R_8Yyviqwgf5165PR,,,,,50.0687,14.3947,anonymous,EN,,White,,146,
,4/23/24 9:37:04.000,4/23/24 9:37:51.000,40-44,83.60.102.161,46,True,4/23/24 9:37,R_2ifEMLrefJTLnGQ,,,,,37.0686,-2.3234,anonymous,EN,,White,,150,
14,4/23/24 9:37:12.000,4/23/24 9:38:22.000,30-34,41.246.26.163,69,True,4/23/24 9:38,R_5Ir2fhFekH98JfX,,,,,-29.6177,30.3835,anonymous,EN,,Black or African American,,,50
30,4/23/24 9:37:12.000,4/23/24 9:38:34.000,25-29,109.81.114.112,81,True,4/23/24 9:38,R_8LdRo79wDjQDgpC,,,,,49.1953,16.6016,anonymous,EN,,White,,,115
29,4/23/24 9:37:17.000,4/23/24 9:37:32.000,25-29,90.244.162.189,15,True,4/23/24 9:37,R_2jSsPF3hLJewk18,,,,,51.4623,-2.5502,anonymous,EN,,White,,,65
28,4/23/24 9:37:17.000,4/23/24 9:37:57.000,18-24,93.181.165.15,39,True,4/23/24 9:37,R_2rwS6oJxv65hnMk,,,,,51.066,17.004,anonymous,EN,,White,,140,
31,4/23/24 9:37:18.000,4/23/24 9:38:26.000,45-49,51.198.207.166,67,True,4/23/24 9:38,R_2i47dcj1c8h640h,,,,,51.3593,-2.9232,anonymous,EN,,White,,148,
